model_key,model_family,sharpe_val,cum_return_val,max_drawdown_val,overfit_gap,mean_rank_ic,turnover,cost_robust,score_total,model_weight
catboost,catboost,4.9708751057296694e+26,3558.9508162573666,-0.017008752769042113,2.5085325415377204e+29,0.4039598997493734,0.0,0.0,98160218.7272628,0.4739276818219144
lgbm,lgbm,4.518979870611009e+18,327.06959705992483,-0.01698968899783146,6.183036438018327e+27,0.42571428571428577,0.0,0.0,0.0,0.4739276818219144
ridge,ridge,2.640372100037204e+18,308.12369598268066,-0.014958155390410215,2.866591239123599e+25,0.03819548872180449,0.0,0.0,-14.813860564276165,0.05214463635617111
