factor,IC_mean,IC_std,ICIR,absICIR,coverage
open,-0.031214160315795304,0.32328410070594454,-0.09655334192938657,0.09655334192938657,0.9651567944250871
high,-0.0325175731789131,0.323249583733965,-0.1005958702352889,0.1005958702352889,0.9651567944250871
low,-0.031545827698866526,0.32252778197565046,-0.0978080942535614,0.0978080942535614,0.9651567944250871
close,-0.032631582725103137,0.32279890516531895,-0.10108950867844835,0.10108950867844835,0.9651567944250871
pre_close,-0.03217556904469273,0.3232792825839243,-0.0995287071522743,0.0995287071522743,0.9651567944250871
change,0.010700093049420696,0.31422665796674903,0.03405214923093178,0.03405214923093178,0.9651567944250871
pct_chg,0.0005752416318890881,0.3182406700096992,0.001807567938665904,0.001807567938665904,0.9651567944250871
vol,0.021931680170224684,0.33662313052413245,0.06515202961863134,0.06515202961863134,0.9651567944250871
amount,-0.026062904082759356,0.2925439055773798,-0.08909057268282605,0.08909057268282605,0.9651567944250871
turnover_rate,-0.0011530679283362902,0.34239110370937503,-0.0033676924308028333,0.0033676924308028333,0.8954703832752613
turnover_rate_f,-0.04229573431556144,0.3119614007664049,-0.13558002436087363,0.13558002436087363,0.8954703832752613
volume_ratio,-0.04687333365762785,0.251103863111301,-0.18666910606967202,0.18666910606967202,0.8954703832752613
pe,-0.02310840023305018,0.3906287401598686,-0.05915693818020877,0.05915693818020877,0.8954703832752613
pe_ttm,-0.03610106437231751,0.37289956067599406,-0.09681176429082763,0.09681176429082763,0.8954703832752613
pb,-0.050641799868158206,0.3393670766418307,-0.14922425701773587,0.14922425701773587,0.8954703832752613
ps,-0.054646674910308245,0.22975367931247054,-0.2378489653520954,0.2378489653520954,0.8954703832752613
ps_ttm,-0.05767178693591086,0.22736602015470916,-0.2536517413493389,0.2536517413493389,0.8954703832752613
dv_ratio,0.022521792355093072,0.365209329313408,0.06166817369488876,0.06166817369488876,0.8954703832752613
dv_ttm,0.010728590529617468,0.36479138163942315,0.029410208326199186,0.029410208326199186,0.8954703832752613
total_share,0.03092311071852115,0.3707773897684249,0.08340074549269222,0.08340074549269222,0.8954703832752613
